,user_ids
627,D-7923-2013
628,D-9255-2012
629,E-1331-2013
630,A-1977-2013
631,H-2486-2011
632,I-5935-2014
633,P-6011-2014
634,D-7134-2013
635,I-5315-2016
636,D-3644-2012
637,J-8846-2013
638,E-3199-2016
639,B-1483-2017
640,M-2019-2014
641,N-9262-2018
642,G-4635-2011
643,F-3263-2010
644,A-9821-2009
645,C-3559-2008
646,P-2599-2016
647,K-5827-2018
648,N-9954-2014
649,A-3013-2011
650,A-7305-2010
651,I-7523-2012
652,C-4143-2013
653,K-3312-2014
654,F-2608-2013
655,K-4468-2012
656,V-8437-2017
657,P-2491-2017
658,C-9175-2012
659,B-4442-2008
660,C-8721-2009
661,D-5244-2016
662,C-5210-2009
663,A-9980-2015
664,L-2278-2016
665,K-8789-2015
666,E-5949-2010
667,L-6853-2015
668,N-2538-2018
669,I-7355-2017
670,B-3894-2015
671,C-3460-2008
672,C-6068-2013
673,J-3694-2016
674,C-8992-2013
675,G-2433-2012
676,E-7471-2011
677,N-4159-2016
678,C-8778-2011
679,D-3259-2012
680,F-9050-2015
681,J-8964-2012
682,I-4385-2015
683,G-8158-2011
684,D-8883-2014
685,D-1430-2010
686,G-9938-2014
687,N-3061-2016
688,F-9774-2011
689,O-9176-2017
690,I-3766-2014
691,C-5711-2008
692,A-9931-2009
693,C-8867-2011
694,A-2434-2016
695,C-8249-2015
696,F-5934-2016
697,B-1626-2013
698,G-2858-2011
699,M-8786-2018
700,B-5426-2013
701,K-8131-2016
702,N-4376-2017
703,N-3328-2016
704,A-3339-2012
705,N-1284-2015
706,C-4038-2017
707,C-5114-2008
708,E-8144-2013
709,C-1665-2014
710,F-3900-2015
711,N-9558-2013
712,C-8768-2011
713,K-4455-2013
714,P-1842-2015
715,A-3672-2014
716,E-8203-2017
717,N-3338-2016
718,P-5685-2014
719,M-5735-2014
720,H-2073-2018
721,F-3002-2011
722,A-1123-2016
723,I-8077-2016
724,A-3307-2016
725,A-8353-2008
726,D-6399-2014
727,A-2093-2010
728,H-7128-2016
729,D-1539-2016
730,D-2615-2017
731,E-6881-2017
732,J-9753-2012
733,N-3430-2018
734,D-4448-2015
735,B-8399-2017
736,D-4472-2014
737,G-5197-2010
738,D-9248-2014
739,E-2615-2011
740,M-3025-2014
741,I-4827-2015
742,J-8627-2015
743,B-9881-2013
744,O-3795-2015
745,A-7776-2009
746,K-8141-2016
747,D-2078-2009
748,C-5249-2011
749,D-7021-2014
750,C-5738-2009
751,B-3742-2012
752,I-2239-2017
753,D-3781-2009
754,H-7889-2013
755,N-7841-2017
756,H-1655-2018
757,S-6778-2017
758,C-1124-2015
759,C-4410-2008
760,L-7082-2018
761,F-4618-2017
762,F-7032-2018
763,B-9508-2012
764,C-1155-2009
765,D-4508-2011
766,K-2266-2017
767,B-2411-2018
768,L-3942-2018
769,A-1992-2015
770,B-7906-2009
771,F-6791-2012
772,I-2855-2012
773,D-4214-2013
774,R-6656-2016
775,N-1364-2014
776,N-7130-2017
777,E-5024-2017
778,A-8755-2017
779,E-6437-2015
780,J-2171-2017
781,J-2678-2014
782,L-8884-2013
783,C-5906-2011
784,A-4819-2017
785,H-7469-2012
786,L-9603-2013
787,F-9745-2013
788,P-6350-2015
789,A-2107-2015
790,D-3249-2017
791,C-4651-2008
792,A-6889-2010
793,J-8582-2014
794,A-2514-2008
795,K-1273-2017
796,I-7503-2012
797,G-6531-2015
798,I-9875-2014
799,E-6270-2018
800,A-8626-2013
801,F-1220-2011
802,O-4263-2018
803,K-9329-2013
804,G-8817-2018
805,E-7949-2014
806,B-1701-2014
807,G-8718-2014
808,H-5930-2013
809,M-9182-2018
810,K-7429-2016
811,N-7902-2016
812,D-1889-2018
813,P-7130-2016
814,G-2562-2013
815,F-9992-2014
816,H-4918-2015
817,M-8707-2018
818,M-5938-2015
819,G-4937-2011
820,H-4498-2014
821,D-7272-2018
822,C-4031-2009
823,F-3115-2014
824,L-8566-2018
825,A-9200-2009
826,O-2974-2018
827,A-4450-2011
828,I-3665-2015
829,E-3062-2015
830,A-8461-2015
831,M-5998-2018
832,D-7156-2013
833,J-3178-2012
834,B-7735-2008
835,F-8184-2012
836,M-3131-2014
837,B-2717-2009
838,G-3875-2012
839,L-4278-2016
840,A-1940-2014
841,D-4811-2009
842,B-1689-2013
843,A-6465-2008
844,A-1600-2009
845,E-2616-2011
846,I-1070-2018
847,D-2366-2014
848,B-4819-2008
849,B-2836-2015
850,P-7427-2015
851,C-4995-2008
852,A-4782-2014
853,F-2834-2016
854,J-4742-2015
855,C-1232-2014
856,I-6262-2012
857,H-9359-2018
858,A-1988-2013
859,A-8725-2008
860,G-9264-2011
861,G-7375-2018
862,A-4186-2009
863,G-2410-2015
864,E-4899-2016
865,I-2677-2015
866,D-8950-2011
867,D-1428-2016
868,D-2550-2010
869,L-5688-2017
870,E-5963-2011
871,I-2888-2017
872,C-4155-2008
873,G-1545-2013
874,B-6509-2008
875,I-8078-2012
876,D-1243-2017
